;name;album;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;mode;valence;key
749;Perfect;Made In The A.M. (Deluxe Edition);One Direction;2015-11-13;230333;76;0.647;0.0598;0.647;0.823;0.0;0.119;-5.231;0.0762;99.933;4;1;0.396;2
750;Lover;Lover;Taylor Swift;2019-08-23;221306;78;0.359;0.492;0.359;0.543;1.58e-05;0.118;-7.582;0.0919;68.534;4;1;0.453;7
751;The Nights;The Days / Nights;Avicii;2014-01-01;176658;85;0.527;0.0166;0.527;0.835;0.0;0.249;-5.298;0.0433;125.983;4;1;0.654;6
752;Lose Somebody;Golden Hour;Kygo;2020-05-29;199549;75;0.58;0.344;0.58;0.586;0.0;0.0755;-6.883;0.0357;147.988;4;1;0.507;1
753;Dangerous (feat. Sam Martin);Listen;David Guetta;2014-11-21;203641;66;0.466;0.417;0.466;0.747;9.76e-06;0.107;-4.838;0.0795;92.161;4;0;0.43;4
754;I'm Upset;Scorpion;Drake;2018-06-29;214466;70;0.899;0.279;0.899;0.586;0.0;0.0836;-7.866;0.343;150.002;4;0;0.492;11
755;Good as Hell (feat. Ariana Grande) - Remix;Good as Hell (feat. Ariana Grande) [Remix];Lizzo;2016;159011;75;0.668;0.298;0.668;0.892;0.0;0.735;-3.001;0.0645;95.927;4;0;0.478;5
756;Portland;More Life;Drake;2017-03-18;236614;72;0.925;0.0172;0.925;0.443;0.0;0.276;-8.216;0.264;136.078;4;1;0.35;1
757;The Monster;The Monster;Eminem;2013-01-01;250906;0;0.785;0.0556;0.785;0.86;0.0;0.0675;-3.642;0.0794;110.048;4;1;0.623;9
758;All Time Low;The Human Condition;Jon Bellion;2016-06-10;217603;69;0.617;0.0584;0.617;0.567;0.0;0.0933;-4.188;0.0828;90.246;4;1;0.505;0
759;Betrayed;Betrayed;Lil Xan;2017-10-19;187453;60;0.823;0.416;0.823;0.419;0.0;0.105;-10.358;0.165;119.958;4;0;0.277;10
760;Clandestino;Clandestino;Shakira;2018-06-08;231920;68;0.766;0.39;0.766;0.822;3.37e-05;0.349;-4.126;0.16;165.842;4;0;0.881;1
761;September Song;September Song;JP Cooper;2016-09-16;220290;0;0.623;0.0545;0.623;0.654;0.0;0.0838;-5.675;0.0372;95.921;4;0;0.401;0
762;Train Wreck;Back from the Edge;James Arthur;2016-10-28;208826;85;0.311;0.701;0.311;0.485;0.0;0.0726;-5.726;0.0365;77.355;4;0;0.225;6
763;Wild Things;Know-It-All (Deluxe);Alessia Cara;2015-11-13;188493;62;0.741;0.02;0.741;0.626;0.0;0.0828;-4.826;0.0886;108.029;4;0;0.706;1
764;the remedy for a broken heart (why am I so in love);?;XXXTENTACION;2018-03-16;160184;82;0.699;0.779;0.699;0.304;0.000993;0.137;-11.192;0.0993;119.705;4;1;0.271;1
765;SLOW DANCING IN THE DARK;BALLADS 1;Joji;2018-10-26;209273;83;0.515;0.544;0.515;0.479;0.00598;0.191;-7.458;0.0261;88.964;4;1;0.284;3
766;Imposible;Imposible;Luis Fonsi;2018-10-19;163880;68;0.786;0.122;0.786;0.764;0.0;0.102;-2.935;0.0798;90.979;4;1;0.913;11
767;What A Man Gotta Do;What A Man Gotta Do;Jonas Brothers;2020-01-17;180644;79;0.852;0.00839;0.852;0.698;1.03e-06;0.0773;-7.206;0.0629;113.039;4;1;0.324;9
768;Noticed;Northsbest;Lil Mosey;2018-10-19;165000;1;0.699;0.462;0.699;0.558;0.0;0.116;-7.622;0.0603;79.992;4;1;0.493;11
769;Human;Human (Deluxe);Rag'n'Bone Man;2017-02-10;200186;77;0.602;0.393;0.602;0.707;0.0;0.165;-4.097;0.302;75.087;4;1;0.554;9
770;Money;Money;Cardi B;2018-10-23;183527;78;0.95;0.00534;0.95;0.59;0.0;0.11;-6.508;0.29;130.003;4;0;0.219;8
771;Electric Love;Dopamine;BØRNS;2015-10-16;218106;84;0.611;0.00543;0.611;0.797;0.00137;0.26;-7.627;0.0533;120.041;4;0;0.518;6
772;NO;NO;Meghan Trainor;2016-03-04;213523;14;0.742;0.0116;0.742;0.809;2.77e-06;0.726;-3.591;0.176;93.95;4;0;0.632;1
773;Company;Purpose (Deluxe);Justin Bieber;2015-11-13;208120;0;0.59;0.132;0.59;0.797;0.0;0.0846;-4.901;0.0614;94.948;4;0;0.425;4
774;Famous;The Life Of Pablo;Kanye West;2016-04-04;196040;0;0.472;0.072;0.472;0.746;0.0;0.116;-3.649;0.119;173.955;4;1;0.42;6
775;Drowning (feat. Kodak Black);The Bigger Artist;A Boogie Wit da Hoodie;2017-09-29;209269;75;0.839;0.501;0.839;0.81;0.0;0.117;-5.274;0.0568;129.014;4;0;0.814;5
776;You & Me;You & Me;Marc E. Bassy;2016-05-06;218480;0;0.687;0.0362;0.687;0.645;0.0;0.201;-8.38;0.19;84.925;4;1;0.619;1
777;Playinwitme (feat. Kehlani);Light of Mine;KYLE;2018-05-18;191680;68;0.689;0.339;0.689;0.584;0.0;0.297;-5.768;0.119;156.572;4;0;0.676;1
778;Dembow;Dembow;Danny Ocean;2017-12-08;215082;67;0.802;0.0807;0.802;0.744;0.0;0.0917;-5.968;0.078;99.983;4;1;0.45;6
779;Indeciso;Indeciso;Reik;2019-08-23;217253;72;0.738;0.182;0.738;0.748;0.0;0.11;-4.902;0.0453;94.949;4;1;0.896;0
780;Magic;Magic;Coldplay;2014-03-03;285014;62;0.738;0.0266;0.738;0.482;0.621;0.106;-8.917;0.0402;93.457;4;0;0.352;6
781;GREECE (feat. Drake);GREECE (feat. Drake);DJ Khaled;2020-07-16;218901;81;0.695;0.0743;0.695;0.343;1.04e-06;0.107;-10.798;0.0432;85.84;4;1;0.229;5
782;Love Me Harder;My Everything (Deluxe);Ariana Grande;2014-08-25;236133;76;0.472;0.00937;0.472;0.714;0.0;0.0764;-4.389;0.0334;98.992;4;0;0.24;1
783;Sing;Sing;Ed Sheeran;2014-04-07;235382;39;0.818;0.304;0.818;0.67;1.22e-06;0.0601;-4.451;0.0472;119.988;4;0;0.939;8
784;Wherever I Go;Wherever I Go;OneRepublic;2016-05-13;170213;0;0.543;0.107;0.543;0.691;0.0;0.218;-6.403;0.0425;100.014;4;0;0.335;10
785;I Know What You Did Last Summer;Handwritten (Revisited);Shawn Mendes;2015-11-20;223826;0;0.657;0.123;0.657;0.769;0.0;0.245;-4.591;0.115;113.966;4;0;0.712;9
786;223's (feat. 9lokknine);223's (feat. 9lokknine);YNW Melly;2019-08-09;176640;70;0.932;0.0388;0.932;0.547;0.0;0.0924;-7.787;0.333;94.998;4;0;0.695;0
787;Say It (feat. Tove Lo);Skin;Flume;2016-05-27;262521;0;0.598;0.0668;0.598;0.532;3.22e-06;0.0617;-6.833;0.0295;74.963;4;0;0.261;3
788;Whine Up;Intimo;Nicky Jam;2019-11-01;215459;72;0.817;0.0549;0.817;0.665;0.0;0.103;-6.224;0.0758;104.957;4;0;0.662;9
789;After Hours;After Hours;The Weeknd;2020-03-20;361026;77;0.664;0.0811;0.664;0.572;0.00604;0.121;-6.099;0.0305;108.959;4;0;0.143;5
790;Hope;?;XXXTENTACION;2018-03-16;110886;84;0.592;0.661;0.592;0.457;0.000331;0.146;-6.081;0.0603;146.04;4;0;0.225;9
791;Suena El Dembow;Suena El Dembow;Joey Montana;2017-09-01;195813;0;0.688;0.186;0.688;0.859;0.0;0.121;-4.447;0.0609;92.042;4;1;0.695;0
792;All Falls Down (feat. Juliander);All Falls Down (feat. Juliander);Alan Walker;2017-10-27;199111;67;0.658;0.303;0.658;0.678;0.0;0.361;-4.407;0.058;97.976;4;1;0.662;1
793;Diosa;Easy Money Baby;Myke Towers;2020-01-24;214013;77;0.801;0.398;0.801;0.745;0.00603;0.153;-3.733;0.063;104.965;4;0;0.245;6
794;Love Myself;Love Myself;Hailee Steinfeld;2015-08-07;218773;0;0.617;0.0026;0.617;0.759;0.0;0.419;-6.785;0.0677;122.925;4;0;0.324;0
795;Que Tire Pa Lante;Que Tire Pa Lante;Daddy Yankee;2019-10-18;210520;74;0.658;0.0478;0.658;0.901;0.0;0.12;-2.814;0.0357;93.979;4;1;0.708;7
796;No Problem (feat. Lil Wayne & 2 Chainz);Coloring Book;Chance the Rapper;2016-05-27;304606;71;0.652;0.156;0.652;0.795;0.0;0.123;-5.192;0.174;135.018;4;0;0.788;11
797;I'm Not The Only One;I'm Not The Only One;Sam Smith;2014-09-11;222329;0;0.717;0.499;0.717;0.499;0.0;0.071;-7.123;0.0478;81.995;4;1;0.541;5
798;Tip Toe (feat. French Montana);Tip Toe (feat. French Montana);Jason Derulo;2017-11-10;187521;67;0.845;0.0233;0.845;0.709;0.0;0.094;-4.547;0.0714;98.062;4;0;0.62;10
799;Tuesday;Tuesday;Burak Yeter;2016-08-12;241874;48;0.841;0.0156;0.841;0.639;0.0654;0.0545;-6.052;0.0688;99.002;4;0;0.675;9
800;Budapest;Wanted on Voyage;George Ezra;2014-06-27;200720;9;0.714;0.0883;0.714;0.451;0.0;0.108;-8.268;0.0276;127.787;4;1;0.406;5
801;Ya No Tiene Novio;Ya No Tiene Novio;Sebastian Yatra;2018-08-10;198933;69;0.632;0.048;0.632;0.832;0.0;0.0705;-1.948;0.154;182.184;4;0;0.784;7
802;Ain't My Fault;Ain't My Fault;Zara Larsson;2016;224030;0;0.576;0.00778;0.576;0.782;0.0;0.285;-4.825;0.0296;141.153;4;0;0.355;6
803;All In My Head (Flex) (feat. Fetty Wap);7/27 (Deluxe);Fifth Harmony;2016-05-27;210573;64;0.689;0.023;0.689;0.791;0.0;0.0526;-5.194;0.053;95.04;4;0;0.755;0
804;Skechers;Skechers;DripReport;2020-01-12;106000;75;0.903;0.26;0.903;0.327;0.011;0.108;-9.727;0.0877;100.008;4;1;0.274;1
805;bellyache;Bellyache;Billie Eilish;2017-02-24;179172;76;0.695;0.46;0.695;0.573;0.0734;0.482;-8.597;0.106;99.939;4;0;0.408;4
806;Paradise;Paradise;Bazzi;2019-04-04;169038;1;0.844;0.0828;0.844;0.644;0.0;0.113;-6.273;0.0479;122.061;4;0;0.591;11
807;Walk Em Down (feat. Roddy Ricch);Walk Em Down (feat. Roddy Ricch);NLE Choppa;2020-03-19;173288;76;0.867;0.268;0.867;0.744;0.0;0.0713;-5.171;0.227;84.005;4;1;0.645;2
808;Love Me Now;DARKNESS AND LIGHT;John Legend;2016-12-02;210293;66;0.495;0.591;0.495;0.762;0.0;0.0763;-3.842;0.0862;123.893;4;1;0.708;8
809;Cool Kids;Talking Dreams (Deluxe Edition);Echosmith;2013-10-04;237626;71;0.719;0.0372;0.719;0.671;8.21e-06;0.12;-6.279;0.0336;130.027;4;1;0.786;8
810;Watch Me (Whip / Nae Nae);Watch Me (Whip / Nae Nae);Silentó;2015-05-04;185142;66;0.821;0.247;0.821;0.759;0.0;0.321;-8.541;0.121;140.01;4;1;0.962;8
811;Swang;SremmLife 2 (Deluxe);Rae Sremmurd;2016-08-12;208120;72;0.681;0.2;0.681;0.314;9.82e-06;0.1;-9.319;0.0581;139.992;4;1;0.166;8
812;Mad Love;Mad Love;Sean Paul;2018-02-15;199944;59;0.793;0.006;0.793;0.824;3.29e-06;0.169;-3.476;0.177;98.019;4;1;0.611;2
813;Chill Bill (feat. J. Davi$ & Spooks);Chill Bill (feat. J. Davi$ & Spooks);Rob $tone;2016-06-17;177184;76;0.886;0.0312;0.886;0.427;0.00099;0.0906;-10.028;0.145;108.034;4;1;0.23;6
814;Latch;Settle (Special Edition);Disclosure;2013-06-03;255631;72;0.503;0.0159;0.503;0.727;9.45e-05;0.0895;-5.456;0.167;121.985;4;1;0.521;1
815;Party Monster;Starboy;The Weeknd;2016-11-25;249213;71;0.573;0.189;0.573;0.63;2.31e-05;0.259;-8.389;0.105;77.525;4;1;0.218;1
816;Fetish (feat. Gucci Mane);Fetish (feat. Gucci Mane);Selena Gomez;2017-07-13;186112;0;0.708;0.0204;0.708;0.61;4.45e-06;0.0641;-4.522;0.0574;123.038;4;1;0.305;2
817;Goosebumps;Goosebumps;HVME;2020-06-12;163208;85;0.767;0.325;0.767;0.659;0.0;0.13;-7.429;0.0444;124.946;4;1;0.439;1
818;imagine;imagine;Ariana Grande;2018-12-14;212293;0;0.714;0.374;0.714;0.474;0.0;0.106;-4.993;0.039;62.484;3;1;0.376;8
819;Happy Now;Happy Now;Zedd;2018-07-18;207029;72;0.503;0.579;0.503;0.741;1.49e-06;0.0712;-5.128;0.047;88.335;3;1;0.458;4
820;Wiggle (feat. Snoop Dogg);Talk Dirty (Deluxe Edition);Jason Derulo;2013-09-10;193295;32;0.697;0.0802;0.697;0.621;0.0;0.162;-6.886;0.25;81.946;4;0;0.721;9
821;OK;OK;Robin Schulz;2017-05-19;189306;65;0.653;0.118;0.653;0.81;0.0;0.126;-6.032;0.0558;121.951;4;0;0.583;7
822;Saint-Tropez;Hollywood's Bleeding;Post Malone;2019-09-06;150866;74;0.617;0.0545;0.617;0.684;0.0;0.104;-3.618;0.0439;132.113;4;1;0.295;0
823;Fresh Eyes;Fresh Eyes;Andy Grammer;2016-01-01;198001;0;0.822;0.562;0.822;0.544;2.4e-05;0.144;-6.797;0.0332;122.047;4;1;0.861;0
824;By Your Side;By Your Side;Jonas Blue;2016-10-28;201254;0;0.696;0.0778;0.696;0.743;0.0;0.0581;-3.838;0.0331;122.978;4;1;0.644;6
825;Reality (feat. Janieck Devy) - Radio Edit;Reality (feat. Janieck Devy);Lost Frequencies;2015-07-10;158474;54;0.731;0.0206;0.731;0.639;1.29e-05;0.0789;-6.597;0.0359;122.08;4;1;0.527;9
826;Amorfoda;Amorfoda;Bad Bunny;2018-02-15;155675;2;0.742;0.984;0.742;0.432;5.78e-05;0.0796;-7.539;0.0615;148.005;3;0;0.252;9
827;Magnolia;Playboi Carti;Playboi Carti;2017-04-14;181812;75;0.791;0.0114;0.791;0.582;0.0;0.35;-7.323;0.286;162.991;4;0;0.443;11
828;Contra La Pared;Contra La Pared;Sean Paul;2019-03-14;224680;71;0.828;0.0156;0.828;0.588;0.0;0.124;-7.14;0.118;94.052;4;1;0.598;2
829;Hasta el Amanecer;Hasta el Amanecer;Nicky Jam;2016-01-13;197213;0;0.837;0.283;0.837;0.608;0.0;0.0855;-6.046;0.0381;94.0;4;0;0.582;6
830;VIBEZ;KIRK;DaBaby;2019-09-27;144935;78;0.768;0.113;0.768;0.652;0.0;0.107;-2.708;0.307;154.187;4;0;0.777;1
831;Shed a Light;Shed a Light;Robin Schulz;2016-11-25;191379;62;0.483;0.112;0.483;0.787;0.0;0.257;-5.244;0.102;122.058;4;1;0.58;8
832;Amarillo;Colores;J Balvin;2020-03-19;157733;75;0.641;0.013;0.641;0.857;0.00534;0.0695;-5.725;0.301;122.728;5;0;0.961;1
833;Si Te Vas;Si Te Vas;Sech;2019-09-26;204906;69;0.73;0.0933;0.73;0.644;4.56e-06;0.143;-4.124;0.132;174.101;4;1;0.554;0
834;No Time To Die;No Time To Die;Billie Eilish;2020-02-13;242265;78;0.38;0.917;0.38;0.219;0.0104;0.0827;-13.273;0.0358;73.537;4;0;0.0517;4
835;Un Año;FANTASÍA;Sebastian Yatra;2019-04-12;163813;67;0.773;0.14;0.773;0.378;0.0;0.133;-7.062;0.0531;94.946;4;0;0.513;1
836;Ayy Macarena;Ayy Macarena;Tyga;2019-11-13;131606;75;0.816;0.133;0.816;0.629;0.0;0.0692;-5.568;0.226;96.493;4;1;0.714;2
837;Hold Back The River;Chaos And The Calm;James Bay;2015-03-20;238746;68;0.715;0.0526;0.715;0.715;0.0;0.0936;-7.364;0.0902;134.922;4;1;0.507;5
838;YOSEMITE;ASTROWORLD;Travis Scott;2018-08-03;150043;76;0.785;0.283;0.785;0.554;3.4e-06;0.116;-6.571;0.0409;128.047;4;1;0.144;0
839;Que Mas Pues - Remix;Sueños;Sech;2019-04-19;305962;73;0.647;0.121;0.647;0.661;2.27e-06;0.12;-5.027;0.2;113.358;5;1;0.811;11
840;Armed And Dangerous;Goodbye & Good Riddance;Juice WRLD;2018-12-10;169999;79;0.736;0.186;0.736;0.67;0.0;0.114;-6.702;0.311;130.032;4;1;0.845;10
841;Green Light;Green Light;Lorde;2017-03-02;234661;0;0.61;0.0147;0.61;0.712;1.12e-05;0.0843;-7.808;0.0776;128.921;4;1;0.283;9
842;Chicago Freestyle (feat. Giveon);Dark Lane Demo Tapes;Drake;2020-05-01;220487;82;0.735;0.629;0.735;0.449;0.0;0.113;-7.507;0.347;122.947;4;1;0.0397;10
843;Bella y Sensual;Golden;Romeo Santos;2017-07-21;204700;71;0.635;0.228;0.635;0.713;0.0;0.0506;-6.909;0.0937;179.864;4;1;0.749;11
844;Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version;Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) [Spanish Version];Pitbull;2017-03-09;194941;54;0.489;0.0277;0.489;0.962;6.18e-06;0.128;-2.597;0.215;104.563;4;1;0.518;0
845;Mala Mía;Mala Mía;Maluma;2018-08-10;183752;67;0.749;0.31;0.749;0.752;0.0;0.232;-4.883;0.345;180.049;4;1;0.901;6
846;Alarm;Alarm;Anne-Marie;2016-05-20;205593;62;0.756;0.0812;0.756;0.589;0.0;0.176;-5.093;0.232;146.928;4;1;0.811;0
847;Madura (feat. Bad Bunny);Madura (feat. Bad Bunny);Cosculluela;2018-04-13;190909;71;0.878;0.138;0.878;0.555;1.34e-06;0.151;-7.639;0.202;88.029;4;0;0.751;1
848;Sofia;Immunity;Clairo;2019-08-02;188386;83;0.744;0.598;0.744;0.619;0.00372;0.231;-9.805;0.039;112.997;4;1;0.641;0
849;Go Loko (feat. Tyga, Jon Z);4REAL 4REAL;YG;2019-05-24;299226;72;0.88;0.325;0.88;0.67;4.17e-06;0.0662;-5.177;0.0468;101.008;4;1;0.131;2
850;Like I'm Gonna Lose You (feat. John Legend);Title (Deluxe);Meghan Trainor;2015-01-09;225053;79;0.63;0.4;0.63;0.53;0.0;0.177;-7.259;0.0434;108.038;3;1;0.417;0
851;Smile (with The Weeknd);Legends Never Die;Juice WRLD;2020-07-10;196180;78;0.694;0.224;0.694;0.685;0.0;0.124;-6.535;0.133;158.831;4;0;0.306;6
852;Hold On, We're Going Home;Nothing Was The Same;Drake;2013-01-01;227880;0;0.774;0.00397;0.774;0.411;3.12e-05;0.0722;-7.412;0.0948;100.002;4;0;0.275;6
853;Ball For Me (feat. Nicki Minaj);beerbongs & bentleys;Post Malone;2018-04-27;206266;70;0.797;0.513;0.797;0.55;0.0;0.0786;-4.166;0.24;134.206;4;1;0.543;9
854;For You (Fifty Shades Freed) (& Rita Ora);"For You (Fifty Shades Freed) [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]";Liam Payne;2018-01-05;244293;0;0.483;0.0188;0.483;0.799;0.0;0.226;-4.567;0.0366;112.946;4;0;0.171;2
855;Happy Xmas (War Is Over) - Remastered 2010;Power To The People - The Hits;John Lennon;2010-10-04;213880;6;0.328;0.318;0.328;0.607;0.0;0.765;-11.076;0.0315;146.537;3;1;0.395;2
856;Sleigh Ride;Sleigh Ride;The Ronettes;2020-12-04;181266;40;0.529;0.403;0.529;0.772;2.21e-06;0.316;-7.013;0.0287;91.751;4;1;0.853;2
857;Sexual;Sexual;NEIKED;2016-08-26;188888;0;0.803;0.0623;0.803;0.569;0.0;0.083;-7.392;0.0739;107.986;4;1;0.809;2
858;Bartier Cardi (feat. 21 Savage);Bartier Cardi (feat. 21 Savage);Cardi B;2017-12-22;224613;55;0.909;0.000704;0.909;0.546;0.000823;0.36;-7.513;0.175;138.043;4;1;0.0986;8
859;SO DONE;F*CK LOVE (SAVAGE);The Kid LAROI;2020-11-06;126521;73;0.719;0.232;0.719;0.598;0.0;0.115;-6.254;0.077;142.592;4;1;0.303;9
860;Talk Dirty (feat. 2 Chainz);Tattoos EP;Jason Derulo;2013-09-24;177685;23;0.76;0.0348;0.76;0.652;0.0;0.307;-7.321;0.232;100.315;4;1;0.759;6
861;Fairytale of New York (feat. Kirsty MacColl);If I Should Fall from Grace with God (Expanded Edition);The Pogues;1988-09-05;272466;57;0.271;0.582;0.271;0.551;4.16e-05;0.256;-7.48;0.0457;78.111;4;1;0.428;2
862;El Préstamo;F.A.M.E.;Maluma;2018-05-18;219600;66;0.74;0.205;0.74;0.74;0.0;0.107;-3.647;0.0686;93.95;4;0;0.717;5
863;I'm Not The Only One;In The Lonely Hour (Deluxe Edition);Sam Smith;2014-01-01;239316;0;0.678;0.565;0.678;0.491;2.78e-05;0.0772;-5.815;0.0358;81.997;4;1;0.519;5
864;I'll Show You;Purpose (Deluxe);Justin Bieber;2015-11-13;199946;0;0.361;0.05;0.361;0.608;7.96e-05;0.183;-6.757;0.098;191.812;4;0;0.0789;9
865;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Head Shoulders Knees & Toes (feat. Norma Jean Martine);Ofenbach;2020-05-08;156960;82;0.798;0.0247;0.798;0.828;2.55e-06;0.121;-5.36;0.193;124.962;4;1;0.6;2
866;Quizas;The Academy;Rich Music LTD;2019-10-11;216066;74;0.727;0.0258;0.727;0.815;0.0;0.231;-2.454;0.153;176.075;4;1;0.677;3
867;Woman Like Me (feat. Nicki Minaj);LM5 (Deluxe);Little Mix;2018-11-16;229720;73;0.754;0.177;0.754;0.854;0.0;0.0808;-3.449;0.0608;75.002;4;0;0.8;5
868;Perro Fiel (feat. Nicky Jam);El Dorado;Shakira;2017-05-26;195213;68;0.75;0.187;0.75;0.76;0.0;0.0548;-4.836;0.198;183.817;4;1;0.893;1
869;Know Your Worth;Know Your Worth;Khalid;2020-02-04;181436;79;0.79;0.145;0.79;0.694;0.00252;0.281;-7.726;0.0708;103.007;4;0;0.508;9
870;Maniac;Kid Krow;Conan Gray;2020-03-20;185773;84;0.628;0.00162;0.628;0.639;0.0;0.354;-5.46;0.0435;108.045;4;1;0.493;8
871;Let It Snow! Let It Snow! Let It Snow!;A Winter Romance;Dean Martin;1959-01-01;117146;53;0.451;0.912;0.451;0.24;2.45e-06;0.175;-14.014;0.0351;134.009;4;1;0.701;1
872;Renegades;VHS;X Ambassadors;2015-06-30;195200;77;0.526;0.0144;0.526;0.862;0.0597;0.229;-6.003;0.0905;90.052;4;1;0.528;2
873;Muévelo;Muévelo;Nicky Jam;2020-01-08;194892;74;0.594;0.415;0.594;0.808;1.39e-05;0.565;-2.409;0.0489;188.09;4;1;0.919;7
874;Dura - Remix;Dura (Remix);Daddy Yankee;2018-04-27;242160;68;0.772;0.188;0.772;0.803;0.0;0.434;-3.035;0.0468;94.981;4;1;0.853;1
875;Powerglide (feat. Juicy J) - From SR3MM;SR3MM;Rae Sremmurd;2018-05-04;332300;69;0.713;0.0168;0.713;0.831;0.0;0.118;-4.75;0.15;173.948;4;0;0.584;1
876;Snowman;Everyday Is Christmas (Deluxe Edition);Sia;2018-11-01;165906;82;0.716;0.483;0.716;0.512;0.0;0.0928;-6.257;0.0331;104.957;3;1;0.326;1
877;PORFA;FERXXO (VOL 1: M.O.R);Feid;2020-04-23;232653;69;0.795;0.0903;0.795;0.542;0.0;0.117;-8.106;0.193;167.823;4;0;0.55;6
878;Reggaeton;Reggaeton;J Balvin;2018-11-17;158800;69;0.747;0.0165;0.747;0.74;9.94e-05;0.101;-4.325;0.191;176.059;4;0;0.552;4
879;SUGAR;GINGER;BROCKHAMPTON;2019-08-23;204533;78;0.453;0.449;0.453;0.538;0.0;0.19;-8.212;0.0638;122.973;4;1;0.516;1
880;Bubalu;Bubalu;Various Artists;2018-11-06;228493;69;0.8;0.616;0.8;0.355;0.0;0.118;-10.47;0.0895;145.929;4;0;0.253;6
881;At My Worst;At My Worst (Joel Corry Remix);Pink Sweat$;2020-12-04;170344;63;0.813;0.777;0.813;0.415;0.0;0.131;-5.926;0.0349;91.921;4;1;0.667;0
882;Daddy Issues;Wiped Out!;The Neighbourhood;2015-10-30;260173;86;0.588;0.0678;0.588;0.521;0.149;0.123;-9.461;0.0329;85.012;4;1;0.337;10
883;Amigos Con Derechos;Amigos Con Derechos;Reik;2018-08-31;227476;3;0.686;0.0481;0.686;0.807;0.0;0.0652;-3.324;0.0613;183.971;4;1;0.63;1
884;Daisy;Daisy;Ashnikko;2020-07-09;146523;80;0.834;0.235;0.834;0.663;0.0;0.372;-6.143;0.133;121.876;4;1;0.774;8
885;The Christmas Song (Merry Christmas To You);The Christmas Song (Expanded Edition);Nat King Cole;1962;192160;52;0.319;0.92;0.319;0.21;8.06e-05;0.138;-15.231;0.0341;78.696;4;1;0.209;1
886;Thotiana;Famous Cryp;Blueface;2018-12-18;129264;10;0.906;0.18;0.906;0.382;0.0;0.113;-12.89;0.269;104.025;4;0;0.391;10
887;Easy Love;Easy Love;Sigala;2015-08-21;227709;42;0.694;0.256;0.694;0.955;0.000874;0.138;-2.872;0.0676;123.982;4;1;0.713;9
888;Blanco;Blanco;J Balvin;2019-11-15;145800;68;0.87;0.0253;0.87;0.706;0.0063;0.0872;-5.395;0.126;100.013;4;0;0.593;9
889;GIRL LIKE ME;Translation;Black Eyed Peas;2020-06-18;220659;73;0.964;0.0194;0.964;0.486;0.04;0.0694;-8.891;0.188;124.058;4;1;0.318;2
890;EL BAÑO (feat. Bad Bunny);EL BAÑO (feat. Bad Bunny);Enrique Iglesias;2018-01-12;228138;65;0.719;0.132;0.719;0.842;0.0;0.105;-3.562;0.0383;90.017;4;0;0.534;6
891;Black Widow;The New Classic (Deluxe Version);Iggy Azalea;2014-01-01;209423;34;0.74;0.202;0.74;0.719;0.000316;0.11;-3.745;0.164;164.019;4;0;0.515;3
892;Happy Now;Happy Now;Kygo;2018-10-26;211362;73;0.693;0.374;0.693;0.575;0.0;0.252;-6.998;0.0801;117.999;4;1;0.492;9
893;'Till I Collapse;The Eminem Show;Eminem;2002-05-26;297893;1;0.551;0.0748;0.551;0.851;0.0;0.0784;-3.277;0.197;171.411;4;1;0.1;1
894;X (feat. Future);Savage Mode;21 Savage;2016-07-15;258880;71;0.835;0.373;0.835;0.413;0.00133;0.101;-9.81;0.396;149.004;4;1;0.111;1
895;Good as Hell;Good as Hell;Lizzo;2016-03-09;159735;69;0.682;0.256;0.682;0.919;0.0;0.442;-3.18;0.0875;95.982;4;0;0.535;0
896;Burn;Burn;Ellie Goulding;2013-01-01;231211;0;0.309;0.258;0.309;0.775;0.0;0.102;-4.915;0.0546;84.731;4;1;0.279;1
897;Ay Mi Dios (feat. Pitbull, Yandel & Chacal);Ay Mi Dios (feat. Pitbull, Yandel & Chacal);IAmChino;2016-02-22;252003;0;0.761;0.167;0.761;0.829;0.0;0.189;-3.203;0.0681;92.033;4;0;0.813;0
898;So Far Away (feat. Jamie Scott & Romy Dya);So Far Away (feat. Jamie Scott & Romy Dya);Martin Garrix;2017-12-01;183636;68;0.526;0.435;0.526;0.52;0.0;0.197;-7.985;0.0569;149.119;4;0;0.13;6
899;Aventura;Épico;Lunay;2019-10-25;217129;70;0.729;0.223;0.729;0.726;0.0;0.101;-3.208;0.0422;92.025;4;1;0.876;5
900;The Scientist;A Rush of Blood to the Head;Coldplay;2002-08-08;309600;83;0.557;0.731;0.557;0.442;1.46e-05;0.11;-7.224;0.0243;146.277;4;1;0.213;5
901;I Would Like;I Would Like;Zara Larsson;2016;226720;0;0.486;0.0853;0.486;0.713;0.0;0.0839;-3.949;0.0524;121.028;4;0;0.297;2
902;Touch;Glory Days (Deluxe);Little Mix;2016-11-18;213306;0;0.607;0.032;0.607;0.718;0.0;0.403;-4.095;0.0978;101.821;4;1;0.551;4
903;Love On The Brain;ANTI;Rihanna;2016-01-28;224000;1;0.509;0.0717;0.509;0.637;1.08e-05;0.0789;-4.83;0.0471;172.006;3;0;0.378;4
